row_id,demographics_age,demographics_age_count,demographics_country,demographics_country_count,demographics_education_level,demographics_education_count,demographics_education_line_value,stacked_age,stacked_education_level,stacked_respondent_count
1,25-34 years old,7788.0,United States,3441,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8629.0,8629.0,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3985.0
2,35-44 years old,5149.0,Germany,1339,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000.0,5000.0,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2178.0
3,18-24 years old,2988.0,India,1316,Some college/university study without earning a degree,2456.0,2456.0,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2115.0
4,45-54 years old,2053.0,United Kingdom,1053,Secondary school,1143.0,1143.0,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1685.0
5,55-64 years old,632.0,Ukraine,931,Professional degree,661.0,661.0,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1468.0
6,Under 18 years old,136.0,Canada,661,Associate degree,634.0,634.0,25-34 years old,Some college/university study without earning a degree,843.0
7,65 years or older,75.0,France,598,Something else,190.0,190.0,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",783.0
8,Prefer not to say,24.0,Brazil,587,Primary school,132.0,132.0,35-44 years old,Some college/university study without earning a degree,665.0
9,,,Poland,494,,,,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",616.0
10,,,Netherlands,480,,,,18-24 years old,Some college/university study without earning a degree,496.0
11,,,Italy,452,,,,18-24 years old,Secondary school,495.0
12,,,Australia,444,,,,45-54 years old,Some college/university study without earning a degree,344.0
13,,,Spain,409,,,,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",299.0
14,,,Sweden,298,,,,25-34 years old,Secondary school,288.0
15,,,Austria,288,,,,35-44 years old,Professional degree,249.0
16,,,Switzerland,283,,,,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",237.0
17,,,Czech Republic,217,,,,25-34 years old,Associate degree,231.0
18,,,Turkey,213,,,,35-44 years old,Secondary school,197.0
19,,,Belgium,184,,,,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",196.0
20,,,Israel,174,,,,35-44 years old,Associate degree,176.0
21,,,Denmark,170,,,,25-34 years old,Professional degree,157.0
22,,,Mexico,169,,,,45-54 years old,Professional degree,153.0
23,,,Norway,167,,,,18-24 years old,Associate degree,132.0
24,,,Romania,166,,,,55-64 years old,Some college/university study without earning a degree,88.0
25,,,Pakistan,151,,,,25-34 years old,Something else,76.0
26,,,Bangladesh,143,,,,Under 18 years old,Secondary school,73.0
27,,,Portugal,136,,,,45-54 years old,Secondary school,70.0
28,,,Indonesia,136,,,,45-54 years old,Associate degree,68.0
29,,,New Zealand,132,,,,55-64 years old,Professional degree,65.0
30,,,Greece,127,,,,18-24 years old,Something else,53.0
31,,,Argentina,126,,,,Under 18 years old,Primary school,38.0
32,,,Russian Federation,126,,,,35-44 years old,Something else,36.0
33,,,Hungary,120,,,,25-34 years old,Primary school,30.0
34,,,South Africa,119,,,,35-44 years old,Primary school,26.0
35,,,Bulgaria,109,,,,65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0
36,,,Finland,104,,,,18-24 years old,Primary school,25.0
37,,,China,100,,,,65 years or older,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0
38,,,Nigeria,97,,,,55-64 years old,Associate degree,22.0
39,,,Japan,96,,,,18-24 years old,Professional degree,20.0
40,,,Serbia,96,,,,55-64 years old,Secondary school,17.0
41,,,"Iran, Islamic Republic of...",90,,,,65 years or older,Professional degree,13.0
42,,,Ireland,87,,,,45-54 years old,Something else,12.0
43,,,Taiwan,86,,,,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0
44,,,Colombia,86,,,,Under 18 years old,Some college/university study without earning a degree,10.0
45,,,Sri Lanka,83,,,,65 years or older,Some college/university study without earning a degree,7.0
46,,,Slovakia,78,,,,45-54 years old,Primary school,7.0
47,,,Viet Nam,76,,,,Under 18 years old,Something else,7.0
48,,,Egypt,75,,,,Under 18 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0
49,,,Kenya,74,,,,55-64 years old,Primary school,4.0
50,,,Philippines,72,,,,65 years or older,Associate degree,4.0
51,,,Singapore,65,,,,Prefer not to say,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0
52,,,Lithuania,64,,,,Prefer not to say,Some college/university study without earning a degree,3.0
53,,,Malaysia,62,,,,55-64 years old,Something else,3.0
54,,,Thailand,59,,,,Prefer not to say,Professional degree,2.0
55,,,Croatia,53,,,,Prefer not to say,Secondary school,2.0
56,,,Hong Kong (S.A.R.),52,,,,Prefer not to say,Something else,2.0
57,,,Chile,49,,,,65 years or older,Primary school,2.0
58,,,Nepal,47,,,,Under 18 years old,Professional degree,2.0
59,,,United Arab Emirates,47,,,,65 years or older,Something else,1.0
60,,,Uruguay,45,,,,65 years or older,Secondary school,1.0
61,,,South Korea,44,,,,Under 18 years old,Associate degree,1.0
62,,,Latvia,44,,,,,,
63,,,Estonia,38,,,,,,
64,,,Slovenia,38,,,,,,
65,,,Peru,30,,,,,,
66,,,Morocco,27,,,,,,
67,,,Georgia,26,,,,,,
68,,,Costa Rica,25,,,,,,
69,,,Bosnia and Herzegovina,24,,,,,,
70,,,Ghana,24,,,,,,
71,,,"Venezuela, Bolivarian Republic of...",24,,,,,,
72,,,Algeria,23,,,,,,
73,,,Kazakhstan,23,,,,,,
74,,,Belarus,22,,,,,,
75,,,Tunisia,21,,,,,,
76,,,Saudi Arabia,21,,,,,,
77,,,Paraguay,21,,,,,,
78,,,Uzbekistan,19,,,,,,
79,,,Ecuador,19,,,,,,
80,,,Cyprus,18,,,,,,
81,,,Dominican Republic,18,,,,,,
82,,,Luxembourg,18,,,,,,
83,,,Guatemala,16,,,,,,
84,,,Ethiopia,16,,,,,,
85,,,Republic of North Macedonia,16,,,,,,
86,,,Republic of Korea,16,,,,,,
87,,,Uganda,15,,,,,,
88,,,Jordan,15,,,,,,
89,,,United Republic of Tanzania,15,,,,,,
90,,,Iceland,14,,,,,,
91,,,Afghanistan,13,,,,,,
92,,,Azerbaijan,13,,,,,,
93,,,Lebanon,13,,,,,,
94,,,Bolivia,12,,,,,,
95,,,Iraq,12,,,,,,
96,,,Zimbabwe,12,,,,,,
97,,,Republic of Moldova,11,,,,,,
98,,,Armenia,11,,,,,,
99,,,Albania,10,,,,,,
100,,,Rwanda,10,,,,,,
101,,,Syrian Arab Republic,9,,,,,,
102,,,Cuba,9,,,,,,
103,,,Montenegro,9,,,,,,
104,,,Malta,8,,,,,,
105,,,Kosovo,8,,,,,,
106,,,Cambodia,8,,,,,,
107,,,Palestine,8,,,,,,
108,,,Nicaragua,8,,,,,,
109,,,Côte d'Ivoire,7,,,,,,
110,,,El Salvador,7,,,,,,
111,,,Cameroon,7,,,,,,
112,,,Mongolia,7,,,,,,
113,,,Kyrgyzstan,7,,,,,,
114,,,Myanmar,7,,,,,,
115,,,Isle of Man,7,,,,,,
116,,,Nomadic,6,,,,,,
117,,,Panama,6,,,,,,
118,,,Zambia,5,,,,,,
119,,,Honduras,5,,,,,,
120,,,Angola,5,,,,,,
121,,,Somalia,4,,,,,,
122,,,Maldives,4,,,,,,
123,,,Malawi,4,,,,,,
124,,,Jamaica,4,,,,,,
125,,,Togo,4,,,,,,
126,,,Oman,4,,,,,,
127,,,Mauritius,4,,,,,,
128,,,Turkmenistan,4,,,,,,
129,,,Benin,4,,,,,,
130,,,Trinidad and Tobago,3,,,,,,
131,,,Bahrain,3,,,,,,
132,,,"Congo, Republic of the...",3,,,,,,
133,,,Suriname,3,,,,,,
134,,,Andorra,3,,,,,,
135,,,Sudan,3,,,,,,
136,,,Madagascar,3,,,,,,
137,,,Qatar,3,,,,,,
138,,,Senegal,2,,,,,,
139,,,Monaco,2,,,,,,
140,,,Mozambique,2,,,,,,
141,,,Bhutan,2,,,,,,
142,,,Burkina Faso,2,,,,,,
143,,,Yemen,2,,,,,,
144,,,Democratic Republic of the Congo,2,,,,,,
145,,,Mauritania,2,,,,,,
146,,,Burundi,2,,,,,,
147,,,Brunei Darussalam,1,,,,,,
148,,,Namibia,1,,,,,,
149,,,Mali,1,,,,,,
150,,,Cape Verde,1,,,,,,
151,,,Guyana,1,,,,,,
152,,,Niger,1,,,,,,
153,,,Samoa,1,,,,,,
154,,,Antigua and Barbuda,1,,,,,,
155,,,Fiji,1,,,,,,
156,,,Kuwait,1,,,,,,
157,,,Belize,1,,,,,,
158,,,Tajikistan,1,,,,,,
159,,,Sierra Leone,1,,,,,,
160,,,Central African Republic,1,,,,,,
161,,,Barbados,1,,,,,,
